movie_id,tag_id,relevance_score
105,22,0.333
105,25,0.333
105,38,0.333
105,40,0.333
105,41,0.333
105,47,0.333
105,52,0.333
105,83,0.333
105,93,0.333
105,117,0.333
105,138,0.333
105,144,0.333
105,183,0.333
105,189,0.333
108,1,0.667
108,3,0.667
108,9,0.667
108,11,1.0
108,12,0.667
108,13,0.333
108,14,0.333
108,15,0.333
108,16,0.667
108,42,0.333
108,47,0.333
108,55,0.667
108,56,1.0
108,69,0.333
108,75,0.333
108,198,0.333
111,7,0.333
111,26,0.333
111,73,0.333
111,97,0.333
112,5,0.333
112,64,0.333
112,180,0.333
113,14,0.333
113,145,0.333
113,197,0.333
115,1,0.333
115,12,0.333
115,87,0.333
115,195,0.333
116,1,0.667
116,2,0.333
116,11,0.333
116,13,0.333
116,35,0.333
116,66,0.333
116,95,0.333
116,112,0.333
116,188,0.333
117,5,0.333
118,24,0.333
118,44,0.333
119,63,0.333
119,67,0.333
119,68,0.333
119,91,0.333
119,114,0.333
119,152,0.333
119,178,0.333
120,25,0.333
120,38,0.333
121,48,0.333
122,7,0.333
123,80,0.333
124,3,0.333
124,5,0.333
124,33,0.333
124,102,0.333
126,51,0.333
127,2,0.333
127,4,0.333
127,10,0.333
127,19,0.333
127,23,0.667
127,195,0.333
130,50,0.333
131,10,0.333
131,131,0.333
131,135,0.333
133,170,0.333
135,103,0.333
135,111,0.333
135,179,0.333
137,17,0.333
137,46,0.333
137,115,0.333
139,49,0.333
139,108,0.333
143,7,0.333
143,10,0.333
143,29,0.333
143,169,0.333
145,18,0.333
145,83,0.333
145,144,0.333
145,147,0.333
154,33,0.333
155,64,0.333
156,51,0.333
157,18,0.333
157,91,0.333
157,166,0.333
158,34,0.333
158,78,0.333
159,34,0.333
159,78,0.333
160,90,0.333
164,5,0.333
165,5,0.333
165,7,0.333
165,31,0.333
165,137,0.333
165,153,0.333
165,169,0.333
165,187,0.333
167,53,0.333
167,71,0.333
167,156,0.333
168,1,0.333
168,11,0.333
168,29,0.333
168,33,0.333
168,66,0.333
168,74,0.333
168,188,0.333
169,34,0.333
169,78,0.333
171,1,0.333
171,5,0.333
171,46,0.333
175,117,0.333
175,162,0.333
183,27,0.333
183,73,0.333
183,105,0.333
183,130,0.333
183,197,0.333
186,12,0.333
186,28,0.333
186,56,0.333
186,167,0.333
189,1,0.333
189,5,0.333
189,57,0.333
189,75,0.333
189,110,0.333
189,172,0.333
189,180,0.333
192,12,0.333
192,33,0.333
199,99,0.333
199,123,0.333
200,7,0.667
200,10,0.333
200,31,0.333
200,196,0.333
202,36,0.333
203,90,0.333
204,70,0.333
207,6,0.333
207,9,1.0
207,13,0.333
207,67,0.333
207,100,0.333
207,114,0.333
207,142,0.333
208,43,0.333
212,8,0.333
212,26,0.333
212,39,0.333
212,86,0.667
212,96,0.333
212,97,0.333
214,8,0.333
214,18,0.333
215,62,0.333
217,19,0.333
221,77,0.333
224,19,0.333
228,125,0.333
229,2,0.333
229,9,0.333
229,23,0.333
229,112,0.333
233,21,0.333
233,88,0.333
235,112,0.333
236,9,0.333
240,32,0.333
241,14,0.333
241,36,0.333
241,44,0.333
241,45,0.333
241,108,0.333
241,151,0.333
247,7,0.333
253,129,0.333
265,99,0.333
265,103,0.333
265,171,0.333
266,136,0.333
268,10,0.333
268,65,0.333
268,119,0.333
268,131,0.333
268,135,0.333
270,80,0.333
271,31,0.667
271,94,0.333
271,162,0.333
271,196,0.333
272,129,0.333
278,10,0.333
278,59,0.333
278,67,0.333
278,68,0.333
278,81,0.333
282,2,0.333
282,9,0.333
282,82,0.333
284,35,0.333
284,97,0.333
284,126,0.333
285,64,0.333
286,69,0.333
286,137,0.333
287,125,0.667
293,146,0.333
293,153,0.333
294,8,0.333
294,184,0.333
295,1,0.333
300,1,0.333
308,183,0.333
310,4,0.667
310,49,0.333
312,64,0.333
312,68,0.333
312,81,0.333
318,79,0.333
318,124,0.333
318,154,0.333
321,4,0.333
321,13,0.333
321,37,0.333
321,192,0.333
326,26,0.333
329,8,0.333
329,72,0.333
332,22,0.333
332,193,0.333
333,2,0.667
333,19,0.667
333,143,0.333
333,168,0.333
333,191,0.333
334,26,0.333
339,30,0.333
339,99,0.333
343,18,0.333
343,30,0.333
343,52,0.333
343,93,0.333
343,123,0.333
349,76,0.333
350,118,0.333
351,65,0.333
351,88,0.333
351,175,0.333
352,37,0.333
352,77,0.667
354,53,0.333
354,96,0.333
354,98,0.333
356,1,0.333
356,12,0.333
356,53,0.333
356,79,0.333
356,124,0.333
356,154,0.333
358,58,0.333
358,173,0.333
360,23,0.333
362,11,0.333
362,12,0.333
365,1,0.333
365,11,0.333
366,51,0.333
368,19,0.333
370,149,0.333
371,4,0.333
371,6,0.667
371,13,0.333
371,16,0.333
371,98,0.667
373,22,0.333
373,63,0.333
374,48,0.333
377,1,0.667
377,7,0.333
377,13,0.333
377,104,0.333
387,8,0.333
387,39,0.333
389,101,0.333
389,175,0.333
391,68,0.333
391,94,0.333
391,160,0.333
393,25,0.333
393,36,0.333
401,6,0.333
401,15,0.667
401,87,0.333
401,113,0.333
409,63,0.333
412,7,0.333
413,39,0.333
414,79,0.333
430,8,0.333
430,20,0.333
430,36,0.333
435,77,0.333
436,14,0.333
436,37,0.333
436,50,0.333
436,126,0.333
439,19,0.333
441,62,0.333
441,81,0.333
441,107,0.333
442,71,0.333
442,163,0.333
446,90,0.333
447,163,0.333
455,43,0.333
459,141,0.333
463,20,0.333
463,145,0.333
463,155,0.667
463,193,0.333
473,2,0.333
473,35,0.333
473,39,0.333
473,67,0.333
473,94,0.333
473,95,0.333
473,113,0.333
473,146,0.333
477,39,0.333
477,106,0.333
480,51,0.333
484,74,0.333
486,4,0.333
486,87,0.333
487,14,0.333
494,160,0.333
495,20,0.333
499,8,0.333
499,20,0.333
499,128,0.333
