credit_id,movie_id,person_id,role_type_id,character_name,billing_order
85,31,2703,4,,18
86,31,3937,4,,19
87,253,419,1,King Arthur,1
88,253,419,1,Voice of God,2
89,253,419,1,Middle Head,3
90,253,10,1,Second Swallow-Savvy Guard,4
91,253,10,1,The Black Knight,5
92,253,10,1,Peasant 3,6
93,253,528,1,Dead Collector,7
94,253,528,1,Peasant 1,8
95,253,528,1,Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot,9
96,253,204,1,Patsy,10
97,253,204,1,Green Knight,11
98,253,204,1,Knight of Camelot,12
99,253,533,1,Dennis's Mother,13
100,253,533,1,Sir Bedevere,14
101,253,533,1,Knight of Camelot,15
102,253,589,1,First Swallow-Savvy Guard,16
103,253,589,1,Dennis,17
104,253,589,1,Peasant 2,18
105,253,1321,1,The Witch,19
106,253,1535,1,Zoot,20
107,253,1535,1,Dingo,21
108,253,2290,1,First Monk,22
109,253,2290,1,Singing Minstrel,23
110,253,2290,1,Page Crushed by the Rabbit,24
111,253,1755,1,Old Crone,25
112,253,204,2,,26
113,253,533,2,,27
114,253,419,4,,28
115,253,10,4,,29
116,253,528,4,,30
117,253,204,4,,31
118,253,1890,3,,32
119,253,3830,3,,33
120,253,1241,4,,34
121,253,2100,4,,35
122,178,630,1,Brody,1
123,178,641,1,Quint,2
124,178,180,1,Hooper,3
125,178,1951,1,Ellen Brody,4
126,178,2122,1,Vaughn,5
127,178,2041,1,Meadows,6
128,178,2487,1,Hendricks,7
129,178,1165,1,Chrissie,8
130,178,1861,1,Cassidy,9
131,178,2081,1,Estuary Victim,10
132,178,109,2,,11
133,178,702,4,,12
134,178,2041,4,,13
135,178,1374,3,,14
136,178,958,3,,15
137,178,739,4,,16
138,178,1414,4,,17
139,178,1860,4,,18
140,65,87,1,R.P. McMurphy,1
141,65,477,1,Nurse Ratched,2
142,65,1274,1,Ellis,3
143,65,1361,1,Col. Matterson,4
144,65,1368,1,Dr. Spivey,5
145,65,1372,1,Miller,6
146,65,432,1,Turkle,7
147,65,1625,1,Warren,8
148,65,176,1,Martini,9
149,65,1753,1,Sefelt,10
150,65,479,2,,11
151,65,2160,4,,12
152,65,2014,4,,13
153,65,2426,4,,14
154,65,3778,4,,15
155,65,47,3,,16
156,65,3925,3,,17
157,65,1015,4,,18
158,65,954,4,,19
159,65,2381,4,,20
160,65,2458,4,,21
161,203,110,1,Rocky,1
162,203,645,1,Adrian,2
163,203,3918,1,Paulie,3
164,203,680,1,Apollo,4
165,203,2822,1,Mickey,5
166,203,1657,1,Jergens,6
167,203,3519,1,Gazzo,7
168,203,1942,1,Mike,8
169,203,1191,1,Fight Announcer,9
170,203,3327,1,Cut Man,10
171,203,360,2,,11
172,203,110,4,,12
173,203,1498,3,,13
174,203,956,3,,14
175,203,1002,4,,15
176,203,1601,4,,16
177,203,1566,4,,17
178,203,2118,4,,18
179,76,43,1,Travis Bickle,1
180,76,54,1,Iris,2
181,76,644,1,Betsy,3
182,76,404,1,Tom,4
183,76,1046,1,Concession Girl,5
184,76,1071,1,Angry Black Man,6
185,76,1130,1,Melio,7
186,76,1127,1,Policeman at Rally,8
187,76,1159,1,Iris' Friend,9
188,76,704,1,Wizard,10
189,76,102,2,,11
190,76,632,4,,12
191,76,3092,3,,13
192,76,3093,3,,14
193,76,728,4,,15
194,76,1495,4,,16
195,76,3263,4,,17
196,76,3426,4,,18
197,25,214,1,Luke Skywalker,1
198,25,53,1,Han Solo,2
199,25,195,1,Princess Leia Organa,3
200,25,4,1,Ben Obi-Wan Kenobi,4
201,25,437,1,Grand Moff Tarkin,5
202,25,173,1,C-3PO,6
203,25,1184,1,R2-D2,7
204,25,2741,1,Chewbacca,8
205,25,470,1,Lord Darth Vader,9
206,25,1378,1,Uncle Owen,10
207,25,79,2,,11
208,25,79,4,,12
209,25,2502,3,,13
210,25,2750,3,,14
211,25,739,4,,15
212,25,3626,4,,16
213,25,1506,4,,17
214,25,1518,4,,18
215,25,2226,4,,19
216,25,2643,4,,20
217,480,43,1,Michael,1
218,480,336,1,Nick,2
219,480,418,1,Stan,3
220,480,629,1,Steven,4
221,480,317,1,Linda,5
222,480,462,1,John,6
223,480,1148,1,Axel,7
224,480,3557,1,Steven's Mother,8
225,480,1077,1,Angela,9
226,480,3397,1,Julien,10
227,480,422,2,,11
228,480,422,4,,12
229,480,3774,4,,13
230,480,1948,4,,14
231,480,3190,4,,15
232,480,422,3,,16
233,480,1690,3,,17
234,480,3090,3,,18
235,480,3518,3,,19
236,480,810,4,,20
237,480,1000,4,,21
238,480,3937,4,,22
239,71,122,1,Ripley,1
240,71,311,1,Dallas,2
241,71,229,1,Kane,3
242,71,415,1,Lambert,4
243,71,656,1,Brett,5
244,71,225,1,Ash,6
245,71,543,1,Parker,7
246,71,1167,1,Alien,8
247,71,2251,1,Mother,9
248,71,3129,1,Alien,10
249,71,307,2,,11
250,71,2987,4,,12
251,71,3450,4,,13
252,71,1461,3,,14
253,71,1982,3,,15
254,71,520,3,,16
255,71,3,4,,17
256,71,3707,4,,18
257,71,3182,4,,19
258,71,3790,4,,20
259,156,309,1,Captain Willard,1
260,156,1,1,Colonel Kurtz,2
261,156,182,1,Lt. Colonel Kilgore,3
262,156,721,1,Chef,4
263,156,1325,1,Lance,5
264,156,194,1,Clean,6
265,156,2109,1,Chief,7
266,156,53,1,Colonel,8
267,156,226,1,Photo Journalist,9
268,156,3523,1,General,10
269,156,163,2,,11
270,156,2839,4,,12
271,156,163,4,,13
272,156,2194,4,,14
273,156,1152,3,,15
274,156,163,3,,16
275,156,1579,4,,17
276,156,992,4,,19
277,156,1926,4,,20
278,156,2055,4,,21
279,156,2703,4,,22
280,156,818,4,,23
281,409,419,1,Wise Man #2,1
282,409,419,1,Brian Cohen,2
283,409,419,1,Biggus Dickus,3
284,409,10,1,Wise Man #1,4
285,409,10,1,Reg,5
286,409,10,1,Jewish Official,6
287,409,589,1,Wise Man #3,7
288,409,589,1,Mr. Big Nose,8
289,409,589,1,Francis,9
290,409,204,1,Man Even Further Forward,10
291,409,204,1,Revolutionary,11
292,409,204,1,Jailer,12
293,409,528,1,Mr. Cheeky,13
294,409,528,1,Stan aka Loretta,14
295,409,528,1,Harry the Haggler,15
296,409,533,1,Mandy Cohen,16
297,409,533,1,Colin,17
298,409,533,1,Simon the Holy Man,18
299,409,1228,1,Gregory,19
300,409,1535,1,Mrs. Gregory,20
301,409,1560,1,Jesus,21
302,409,2290,1,A Weedy Samaritan,22
303,409,533,2,,23
304,409,419,4,,24
305,409,10,4,,25
306,409,204,4,,26
307,409,528,4,,27
308,409,2018,3,,28
309,409,1402,4,,29
310,409,1287,4,,30
311,409,1742,4,,31
312,29,214,1,Luke Skywalker,1
313,29,53,1,Han Solo,2
314,29,195,1,Princess Leia,3
315,29,687,1,Lando Calrissian,4
316,29,173,1,C-3PO,5
317,29,470,1,Darth Vader,6
318,29,2741,1,Chewbacca,7
319,29,1184,1,R2-D2,8
320,29,273,1,Yoda,9
321,29,4,1,Ben (Obi-Wan) Kenobi,10
322,29,2425,2,,11
323,29,1335,4,,12
324,29,536,4,,13
325,29,79,4,,14
326,29,2502,3,,15
327,29,2750,3,,16
328,29,739,4,,17
329,29,994,4,,18
330,29,1518,4,,19
331,29,2226,4,,20
332,446,43,1,Jake La Motta,1
333,446,575,1,Vickie La Motta,2
334,446,278,1,Joey,3
335,446,3723,1,Salvy,4
336,446,1556,1,Tommy Como,5
337,446,3321,1,Lenore,6
338,446,754,1,Mario,7
339,446,1068,1,Patsy,8
340,446,1318,1,Guido,9
341,446,3660,1,Toppy,10
342,446,102,2,,11
343,446,2517,4,,12
344,446,1464,4,,13
345,446,3089,4,,14
346,446,632,4,,15
347,446,1498,3,,16
348,446,956,3,,17
349,446,1495,4,,18
350,446,3376,4,,19
351,52,87,1,Jack Torrance,1
352,52,461,1,Wendy Torrance,2
353,52,2615,1,Danny,3
354,52,432,1,Hallorann,4
355,52,2947,1,Ullman,5
356,52,3560,1,Grady,6
357,52,3680,1,Lloyd,7
358,52,2307,1,Doctor,8
359,52,1412,1,Durkin,9
360,52,1245,1,Young Woman in Bath,10
361,52,6,2,,11
362,52,76,4,,12
363,52,6,4,,13
364,52,2347,4,,14
365,52,6,3,,15
366,52,1457,4,,16
367,52,1796,4,,17
368,52,960,4,,18
369,52,2636,4,,19
370,68,53,1,Indy,1
371,68,130,1,Marion,2
372,68,1918,1,Belloq,3
373,68,3218,1,Sallah,4
374,68,2510,1,Toht,5
375,68,467,1,Brody,6
376,68,264,1,Satipo,7
377,68,2378,1,Dietrich,8
378,68,698,1,Gobler,9
379,68,3602,1,Barranca,10
380,68,3602,1,Monkey Man,11
381,68,109,2,,12
382,68,536,4,,13
383,68,79,4,,14
384,68,2402,4,,15
385,68,2710,3,,16
386,68,739,4,,17
387,68,990,4,,18
388,68,2380,4,,19
389,116,53,1,Deckard,1
390,116,220,1,Batty,2
391,116,344,1,Rachael,3
392,116,585,1,Gaff,4
393,116,677,1,Bryant,5
394,116,215,1,Pris,6
395,116,3334,1,Sebastian,7
396,116,531,1,Leon,8
397,116,3680,1,Tyrell,9
398,116,417,1,Zhora,10
399,116,307,2,,11
400,116,1825,4,,12
401,116,3074,4,,13
402,116,456,4,,14
403,116,1690,3,,15
404,116,1021,4,,16
405,116,966,4,,17
406,116,2934,4,,18
407,116,3182,4,,19
408,368,664,1,Elliott,1
409,368,21,1,Gertie,2
410,368,431,1,Keys,3
411,368,3753,1,Mary,4
412,368,2669,1,Michael,5
413,368,2713,1,Greg,6
414,368,1927,1,Steve,7
415,368,523,1,Tyler,8
416,368,49,1,Pretty Girl,9
417,368,4025,1,Schoolboy,10
418,368,109,2,,11
419,368,2732,4,,12
420,368,879,3,,13
421,368,109,3,,14
422,368,739,4,,15
423,368,968,4,,16
424,368,2610,4,,17
425,305,301,1,MacReady,1
426,305,400,1,Blair,2
427,305,1656,1,Childs,3
428,305,2728,1,Clark,4
429,305,1466,1,Nauls,5
430,305,1534,1,Palmer,6
431,305,1776,1,Dr. Copper,7
432,305,2115,1,Norris,8
433,305,2682,1,Bennings,9
434,305,2861,1,Garry,10
435,305,31,2,,11
436,305,2518,4,,12
437,305,1439,4,,13
438,305,1893,3,,14
439,305,3681,3,,15
440,305,576,4,,16
441,305,967,4,,17
442,305,3167,4,,18
443,55,214,1,Luke Skywalker,1
444,55,53,1,Han Solo,2
445,55,195,1,Princess Leia,3
446,55,687,1,Lando Calrissian,4
447,55,173,1,C-3PO,5
448,55,2741,1,Chewbacca,6
449,55,3430,1,Anakin Skywalker,7
450,55,564,1,The Emperor,8
451,55,273,1,Yoda,9
452,55,235,1,Darth Vader,10
453,55,2707,2,,11
454,55,536,4,,12
455,55,79,4,,13
456,55,2407,3,,14
457,55,2750,3,,15
458,55,739,4,,16
459,55,2275,4,,17
460,55,1216,4,,18
461,55,1518,4,,19
462,55,1764,4,,20
463,55,2643,4,,21
464,78,89,1,Tony Montana,1
465,78,91,1,Elvira,2
466,78,373,1,Manny Ray,3
467,78,561,1,Gina,4
468,78,890,1,Frank Lopez,5
469,78,1562,1,Mama Montana,6
470,78,348,1,Omar,7
471,78,3433,1,Alejandro Sosa,8
472,78,3921,1,Bernstein,9
473,78,3320,1,Chi Chi,10
474,78,175,2,,11
475,78,111,4,,12
476,78,1347,3,,13
477,78,741,4,,14
478,78,730,4,,15
479,78,2055,4,,16
480,78,3185,4,,17
481,376,348,1,Antonio Salieri,1
482,376,525,1,Wolfgang Amadeus Mozart,2
483,376,387,1,Constanze Mozart,3
484,376,1738,1,Leopold Mozart,4
485,376,410,1,Emanuel Schikaneder,5
486,376,715,1,Katerina Cavalieri,6
487,376,236,1,Emperor Joseph II,7
488,376,2404,1,Count Orsini-Rosenberg,8
489,376,2794,1,Michael Schlumberg (2002 Director's Cut),9
490,376,1184,1,Parody Commendatore,10
491,376,479,2,,11
492,376,3419,4,,12
493,376,3925,3,,13
494,376,983,4,,14
495,376,1490,4,,15
496,376,1518,4,,16
497,376,1646,4,,17
498,350,85,1,Dr. Peter Venkman,1
499,350,17,1,Dr. Raymond Stantz,2
500,350,122,1,Dana Barrett,3
501,350,287,1,Dr. Egon Spengler,4
502,350,574,1,Louis Tully,5
503,350,607,1,Janine Melnitz,6
504,350,1151,1,Walter Peck,7
505,350,524,1,Winston Zeddmore,8
506,350,2699,1,Mayor,9
507,350,3619,1,Male Student,10
508,350,3204,2,,11
509,350,17,4,,12
510,350,287,4,,13
511,350,3204,3,,14
512,350,386,4,,15
513,350,798,4,,16
514,350,1299,4,,17
515,350,2381,4,,18
516,270,53,1,Indiana Jones,1
517,270,411,1,Willie Scott,2
518,270,3151,1,Short Round,3
519,270,3145,1,Mola Ram,4
520,270,3413,1,Chattar Lal,5
521,270,3560,1,Captain Blumburtt,6
522,270,1492,1,Lao Che,7
523,270,3915,1,Wu Han,8
524,270,3919,1,Kao Kan,9
525,270,1519,1,Chen,10
526,270,109,2,,11
527,270,2284,4,,12
528,270,2397,4,,13
529,270,79,4,,14
530,270,3787,3,,15
531,270,739,4,,16
532,270,990,4,,17
533,270,2380,4,,18
534,450,43,1,Noodles,1
535,450,126,1,Max,2
536,450,570,1,Deborah,3
537,450,688,1,Jimmy O'Donnell,4
538,450,683,1,Carol,5
539,450,3918,1,Joe,6
540,450,278,1,Frankie,7
541,450,350,1,Police Chief Aiello,8
542,450,481,1,Cockeye,9
543,450,2167,1,Patsy,10
544,450,550,2,,11
545,450,2068,4,,12
546,450,1260,4,,13
547,450,1676,4,,14
548,450,2802,4,,15
549,450,2837,3,,16
550,450,576,4,,17
551,450,970,4,,18
552,450,1202,4,,19
553,81,101,1,Terminator,1
554,81,62,1,Sarah Connor,2
555,81,145,1,Kyle Reese,3
556,81,3866,1,Traxler,4
557,81,222,1,Vukovich,5
558,81,624,1,Matt,6
559,81,2904,1,Ginger,7
560,81,1309,1,Silberman,8
561,81,2843,1,Pawn Shop Clerk,9
562,81,3365,1,Nancy,10
563,81,29,2,,11
564,81,29,4,,12
565,81,870,4,,13
566,81,3876,4,,14
567,81,870,3,,15
568,81,1007,4,,16
569,81,803,4,,17
570,81,2011,4,,18
571,32,55,1,Marty McFly,1
572,32,249,1,Dr. Emmett Brown,2
573,32,326,1,Lorraine Baines,3
574,32,205,1,George McFly,4
575,32,689,1,Biff Tannen,5
576,32,3809,1,Jennifer Parker,6
577,32,2759,1,Dave McFly,7
578,32,3516,1,Linda McFly,8
579,32,1715,1,Sam Baines,9
580,32,2749,1,Stella Baines,10
581,32,346,2,,11
582,32,346,4,,12
583,32,1935,4,,13
584,32,1448,3,,14
585,32,1935,3,,15
586,32,1020,4,,16
587,32,967,4,,17
588,32,821,4,,18
589,32,3369,4,,19
590,367,187,1,Andrew Clark,1
591,367,268,1,John Bender,2
592,367,96,1,Claire Standish,3
593,367,308,1,Allison Reynolds,4
594,367,1995,1,Richard Vernon,5
595,367,503,1,Brian Johnson,6
596,367,2388,1,Carl,7
597,367,1607,1,Allison's Father,8
598,367,1515,1,Brian's Sister,9
599,367,1687,1,Andy's Father,10
600,367,227,2,,11
601,367,227,4,,12
602,367,227,3,,13
603,367,3618,3,,14
604,367,1889,4,,15
605,367,1693,4,,16
606,367,1084,4,,17
607,127,122,1,Ripley,1
608,127,145,1,Corporal Hicks,2
609,127,517,1,Newt,3
610,127,616,1,Burke,4
611,127,222,1,Bishop,5
612,127,90,1,Private Hudson,6
613,127,2247,1,Lieutenant Gorman,7
614,127,491,1,Private Vasquez,8
615,127,2737,1,Sergeant Apone,9
616,127,622,1,Private Drake,10
617,127,29,2,,11
618,127,29,4,,12
619,127,1982,4,,13
620,127,520,4,,14
621,127,2987,4,,15
622,127,870,3,,16
623,127,5,4,,17
624,127,389,4,,18
625,127,2636,4,,19
626,435,25,1,Ferris Bueller,1
627,435,626,1,Cameron Frye,2
628,435,100,1,Sloane Peterson,3
629,435,236,1,Ed Rooney,4
630,435,210,1,Jeanie Bueller,5
631,435,3097,1,Katie Bueller,6
632,435,3769,1,Tom Bueller,7
633,435,2760,1,Grace,8
634,435,104,1,Boy in Police Station,9
635,435,3537,1,Economics Teacher,10
636,435,227,2,,11
637,435,227,4,,12
638,435,227,3,,13
639,435,2312,3,,14
640,435,2956,4,,15
641,435,974,4,,16
642,435,2226,4,,17
643,366,104,1,Chris,1
644,366,144,1,Sgt. Barnes,2
645,366,171,1,Sgt. Elias,3
646,366,1656,1,King,4
647,366,685,1,Big Harold,5
648,366,917,1,Rhah,6
649,366,457,1,Bunny,7
650,366,568,1,Sgt. O'Neill,8
651,366,2352,1,Junior,9
652,366,2902,1,Lt. Wolfe,10
653,366,111,2,,11
654,366,111,4,,12
655,366,2475,3,,13
656,366,2,4,,14
657,366,3225,4,,15
658,366,3465,4,,16
659,349,338,1,Gordie Lachance,1
660,349,92,1,Chris Chambers,2
661,349,190,1,Teddy Duchamp,3
662,349,912,1,Vern Tessio,4
663,349,319,1,Ace Merrill,5
664,349,3455,1,Billy Tessio,6
665,349,3236,1,Charlie Hogan,7
666,349,2062,1,Eyeball Chambers,8
667,349,3012,1,Vince Desjardins,9
668,349,1251,1,Mr. Lachance,10
669,349,615,2,,11
670,349,76,4,,12
671,349,1979,4,,13
672,349,1813,4,,14
673,349,1813,3,,15
674,349,1979,3,,16
675,349,3363,3,,17
676,349,1015,4,,18
677,349,1693,4,,19
678,349,2557,4,,20
679,285,39,1,Maverick,1
680,285,97,1,Merlin,2
681,285,260,1,Charlie,3
682,285,75,1,Ice,4
683,285,183,1,Goose,5
684,285,311,1,Viper,6
685,285,232,1,Jester,7
686,285,1041,1,Cougar,8
687,285,3673,1,Wolfman,9
688,285,624,1,Slider,10
689,285,636,2,,11
690,285,1468,4,,12
691,285,1806,4,,13
692,285,4219,4,,14
693,285,406,3,,15
694,285,3466,3,,16
695,285,1822,4,,17
696,285,2440,4,,18
697,285,2546,4,,19
698,285,3795,4,,20
699,126,263,1,Pvt. Joker,1
700,126,186,1,Gny. Sgt. Hartman,2
701,126,170,1,Pvt. Pyle,3
702,126,137,1,Animal Mother,4
703,126,726,1,Eightball,5
704,126,2262,1,Rafterman,6
705,126,2258,1,Pvt. Cowboy,7
706,126,3001,1,Lt. Touchdown,8
707,126,3636,1,Lt. Lockhart,9
708,126,2327,1,Crazy Earl,10
709,126,6,2,,11
710,126,6,4,,12
711,126,2194,4,,13
712,126,2156,4,,14
713,126,6,3,,15
714,126,2497,4,,16
715,126,982,4,,17
716,126,2279,4,,18
717,333,101,1,Dutch,1
718,333,680,1,Dillon,2
719,333,504,1,The Predator,3
720,333,504,1,Helicopter Pilot,4
721,333,708,1,Anna,5
722,333,847,1,Mac,6
723,333,675,1,Blain,7
724,333,2522,1,Billy,8
725,333,1501,1,Poncho,9
726,333,1134,1,General Phillips,10
727,333,391,1,Hawkins,11
728,333,571,2,,12
729,333,3642,4,,13
730,333,3643,4,,14
731,333,1665,3,,15
732,333,2031,3,,16
733,333,933,3,,17
734,333,1020,4,,18
735,333,980,4,,19
736,333,2181,4,,20
737,333,2597,4,,21
738,353,50,1,Westley,1
739,353,593,1,Inigo Montoya,2
740,353,343,1,The Princess Bride,3
741,353,628,1,Prince Humperdinck,4
742,353,501,1,Count Rugen,5
743,353,642,1,Vizzini,6
744,353,355,1,Fezzik,7
745,353,305,1,The Grandson,8
746,353,189,1,The Grandfather,9
747,353,1572,1,The Impressive Clergyman,10
748,353,615,2,,11
749,353,490,4,,12
750,353,615,3,,13
751,353,3363,3,,14
752,353,2467,4,,15
753,353,389,4,,16
754,353,2557,4,,17
755,433,138,1,Adam,1
756,433,42,1,Barbara,2
757,433,238,1,Betelgeuse,3
758,433,2771,1,Jane Butterfield,4
759,433,3036,1,Ernie,5
760,433,3528,1,Old Bill,6
761,433,2858,1,Little Jane,7
762,433,584,1,Delia,8
763,433,3347,1,Moving Man #1,9
764,433,1809,1,Moving Man #2,10
765,433,155,2,,11
766,433,2770,4,,12
767,433,3476,4,,13
768,433,3860,4,,14
769,433,1255,3,,15
770,433,2157,3,,16
771,433,3860,3,,17
772,433,184,4,,18
773,433,959,4,,19
774,433,2501,4,,20
775,74,124,1,John McClane,1
776,74,297,1,Hans Gruber,2
777,74,377,1,Holly Gennaro McClane,3
778,74,674,1,Sgt. Al Powell,4
779,74,1995,1,Dwayne T. Robinson,5
780,74,3827,1,Argyle,6
781,74,1151,1,Thornburg,7
782,74,393,1,Ellis,8
783,74,3438,1,Takagi,9
784,74,2007,1,Karl,10
785,74,571,2,,11
786,74,3647,4,,12
787,74,3573,4,,13
788,74,1683,4,,14
789,74,2031,3,,15
790,74,933,3,,16
791,74,812,4,,17
792,74,394,4,,18
793,74,2597,4,,19
794,74,3694,4,,20
795,484,3620,1,Seita,1
796,484,3443,1,Setsuko,2
797,484,3909,1,Aunt,3
798,484,3441,1,Mother,4
799,484,4184,1,Obayashi Chairman,5
800,484,4041,1,Woman who takes care of Setsuko,6
801,484,4185,1,Cousin,7
802,484,5009,1,Gosaku,8
803,484,4186,1,Aunt's house guest,9
804,484,5137,1,Patrolman,10
805,484,3608,2,,11
806,484,2980,4,,12
807,484,3608,4,,13
808,484,2130,3,,14
809,484,4648,4,,15
810,484,2484,4,,16
811,484,3415,4,,17
812,258,65,1,Raymond Babbitt,1
813,258,39,1,Charlie Babbitt,2
814,258,207,1,Susanna,3
815,258,2865,1,Dr. Bruner,4
816,258,2917,1,John Mooney,5
817,258,3245,1,Vern,6
818,258,3416,1,Lenny,7
819,258,2332,1,Iris,8
820,258,526,1,Sally Dibbs,9
821,258,3249,1,Small Town Doctor,10
822,258,552,2,,11
823,258,2897,4,,12
824,258,1218,4,,13
825,258,2351,3,,14
826,258,695,4,,15
827,258,987,4,,16
828,258,2601,4,,17
829,414,3607,1,Totoro,1
830,414,2207,1,Satsuki,2
831,414,3318,1,Mei,3
832,414,2298,1,Tatsuo Kusakabe,4
833,414,3439,1,Yasuko Kusakabe,5
834,414,2450,1,Granny,6
835,414,4281,1,Kanta's Mother,7
836,414,3777,1,School Teacher,8
837,414,3593,1,Originator Grandma,9
838,414,2224,1,Kanta's Father,10
839,414,2860,2,,11
840,414,2860,4,,12
841,414,2130,3,,13
842,414,4412,3,,14
843,414,2228,4,,15
844,414,4101,4,,16
845,414,3442,4,,17
846,414,3415,4,,18
847,236,55,1,Marty McFly,1
848,236,55,1,Marty McFly Junior,2
849,236,55,1,Marlene McFly,3
850,236,249,1,Doctor Emmett Brown,4
851,236,326,1,Lorraine,5
852,236,689,1,Biff Tannen,6
853,236,689,1,Griff,7
854,236,105,1,Jennifer,8
855,236,3656,1,Strickland,9
856,236,3802,1,George McFly,10
857,236,3455,1,3-D,11
858,236,345,1,Match,12
859,236,1552,1,Skinhead,13
860,236,346,2,,14
861,236,346,4,,15
862,236,1935,4,,16
863,236,1448,3,,17
864,236,1935,3,,18
865,236,1020,4,,19
866,236,967,4,,20
867,236,821,4,,21
868,236,3369,4,,22
869,412,238,1,Batman,1
870,412,238,1,Bruce Wayne,2
871,412,87,1,Joker,3
872,412,87,1,Jack Napier,4
873,412,22,1,Vicki Vale,5
874,412,3899,1,Alexander Knox,6
875,412,2221,1,Commissioner Gordon,7
876,412,687,1,Harvey Dent,8
877,412,493,1,Alfred,9
878,412,588,1,Grissom,10
879,412,2112,1,Alicia,11
880,412,3762,1,Bob the Goon,12
881,412,155,2,,13
882,412,801,4,,14
883,412,2124,4,,15
884,412,3476,4,,16
885,412,2083,3,,17
886,412,915,3,,18
887,412,184,4,,19
888,412,3135,4,,20
889,412,2636,4,,21
890,221,123,1,John Keating,1
891,221,245,1,Neil Perry,2
892,221,64,1,Todd Anderson,3
893,221,420,1,Knox Overstreet,4
894,221,2129,1,Charlie Dalton,5
895,221,2506,1,Richard Cameron,6
896,221,3297,1,Steven Meeks,7
897,221,3783,1,Gerard Pitts,8
898,221,2617,1,Mr. Nolan,9
899,221,649,1,Mr. Perry,10
900,221,681,2,,11
901,221,3381,4,,12
902,221,2102,3,,13
903,221,2372,3,,14
904,221,3644,3,,15
905,221,781,4,,16
906,221,987,4,,17
907,221,1107,4,,18
908,123,53,1,Indiana Jones,1
909,123,35,1,Professor Henry Jones,2
910,123,1732,1,Elsa,3
911,123,467,1,Marcus Brody,4
912,123,3218,1,Sallah,5
913,123,723,1,Walter Donovan,6
914,123,92,1,Young Indy,7
915,123,1423,1,Vogel,8
916,123,2679,1,Kazim,9
917,123,1782,1,Grail Knight,10
918,123,109,2,,11
919,123,1306,4,,12
920,123,79,4,,13
921,123,2829,4,,14
922,123,2402,4,,15
923,123,3787,3,,16
924,123,739,4,,17
925,123,990,4,,18
926,123,2380,4,,19
927,309,55,1,Marty McFly,1
928,309,55,1,Seamus McFly,2
929,309,249,1,Doctor Emmett Brown,3
930,309,938,1,Clara Clayton,4
931,309,689,1,Buford 'Mad Dog' Tannen,5
932,309,689,1,Biff Tannen,6
933,309,326,1,Maggie McFly,7
934,309,326,1,Lorraine McFly,8
935,309,105,1,Jennifer,9
936,309,1528,1,Bartender,10
937,309,1776,1,Barbwire Salesman,11
938,309,1420,1,Saloon Old Timers,12
939,309,412,1,Saloon Old Timers,13
